"Q1: Respondent","Q2: What kind of singing do you do? Tick all that apply","Q3: What kinds of folk singing events do you attend? Tick all that apply - Selected Choice","Q4: What kinds of folk singing events do you attend? Tick all that apply - Other, please describe - Text","Q5: How many times have you been folk singing in the last four weeks?","Q6: How old were you when you first took part in a folk singing event?","Q7: Why did you choose to start folk singing?","Microphone","Standing","Instrument","Word","Q12: Please describe your ideal folk singing environment.","Q13: How well do you think you sing when you take part in a folk singing event?
0 = I sing very badly 
10 = I sing excellently.","Q14: How important to you is it that other people are good singers at folk singing events?","Q15: How accepted do you feel when you sing at a folk singing event?","Q16: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Selected Choice","Q17: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Other, please describe - Text","Q18: What other types of music events do you take part in? Please tick all that apply - Selected Choice","Q19: What other types of music events do you take part in? Please tick all that apply - Other, please describe - Text","Q22: For how long did you / have you organised folk singing events?","Q23: Have you organised non-folk music events as well? - Selected Choice","Q24: Have you organised non-folk music events as well? - Yes, please describe - Text","Q25: What motivates you to organise folk singing events?","Q26: Have you ever actively tried to reach people who may not normally attend folk singing events?","Q27: Please describe what you did and what impacts (if any) these actions had","Q28: Have you ever actively tried to improve accessibility to your events? By â€œaccessibilityâ€, we mean removing barriers that might prevent disabled people from attending an event.","Q29: Please describe how you tried to improve accessibility to your events and what impacts (if any) these actions had","Q30: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Selected Choice","Q31: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Other, please describe - Text","Q32: You selected that the song's content connects you to a specific place. Please describe the place.","Q33: You selected that you like to sing about a particular topic. Please describe the topic.","Q34: You selected that the song's origin interests you. Please describe the types of origins that interest you.","Q35: You selected that you connect with the song's political message. Please describe the political message that you connect with.","Q36: Would you like to tell us anything about why you choose to sing particular songs?","Q37: Have you ever heard a song at a folk singing event that you felt was inappropriate?","Inappropriate","Q39: Did you raise this with anyone at the event?","Impact","Q41: Have you ever experienced any barriers to participating in a folk singing event? For example, something relating to mental or physical health that could not be accommodated, or feeling unwelcome due to your age, gender, sexuality or ethnicity?","Barrier","Q43: Are you aware of any attempts by the organisers of folk singing events you have attended to be more inclusive or increase accessibility to the event?","Q44: Please describe what you noticed the organiser did to be more inclusive or increase accessibility to the event.","Q45: Is there anything else you would like to tell us about your experiences relating to folk singing in England - in particular about community, identity or inclusion - that has not been covered in this survey?","Q46: We have shared this survey as widely as we can but due to the ever-changing nature of the folk scene and new kinds of events, we know we will have missed some. Are there any folk events that you think we might not know about?","Q52: What is the highest educational qualification you have obtained? - Selected Choice","Q53: What is the highest educational qualification you have obtained? - Other, please describe - Text","Q54: Which social class do you most identify with? - Selected Choice","Q55: Which social class do you most identify with? - Other, please describe - Text","Q56: Do you live in the United Kingdom?","Q57: Please provide the first part of your postcode, e.g., S35 or BD22. (This question is important for understanding the distribution of our respondents. Respondents cannot be identified from their postcode data. You will not be identified, contacted or added to any mailing lists.) - Postcode","Q58: What is your country of residence?","Q59: How would you describe your national identity? - Selected Choice","Q60: How would you describe your national identity? - Other, please describe - Text","Q67: What is your religion, if any? - Selected Choice","Q68: What is your religion, if any? - Other Christian denomination, please describe - Text","Q69: What is your religion, if any? - Any other religion, please describe - Text","Q70: Are you currently practising this religion?","PoliticalParty","Q73: If there was a general election tomorrow, which political party would you be most likely to support? - Other, please state - Text","Political","Organiser","Ethnicity","Gender","Disability","Sexuality","Age","AgeCategorical"
"Respondent 11","Sing choruses","Folk clubs,Concerts,Folk festivals",NA,"1-2","45","Through a friend. I like singing but did not know about folk singing until I went to a folk club.","Without a PA / microphone","From my seat / standing as part of a group","A mixture","Without a score / words","Among a lot of singing friends","7","Neutral","Very accepted","Friendships,Other, please describe","Very strong friendships","Audience at classical concerts,Go to workshops / take private lessons,Other, please describe,5","Instrumental workshops","1 to 5 years","Yes, please describe","International dulcimer events","Happy to step up when something is a personal interest","Yes","Very hard to do!",NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience",NA,NA,"Sea songs, songs about the needle industry, womenâ€™s songs, ballads","Historic ballads, songs with a connection to a location which I have a connection to, English traditions",NA,"I have to like the melody, it be singable for me, and also to relate to the lyrics.","No",NA,NA,NA,"No",NA,"No",NA,"The folk singing community is a warm, inclusive and friendly one. People become long term friends, people you could count on when you are in need, even if you donâ€™t see them that often. Mental well-being is strengthened not only by actually singing but by the fact that the community is so supportive.",NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","B97",NA,"British",NA,"No religion",NA,NA,NA,"Labour Party",NA,"7","Volunteer","White UK","Female","No","Heterosexual/Straight",70,"61-80+"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Respondent 13","Lead songs,Sing choruses","Singarounds,Folk festivals",NA,"3-5","20","I already had some knowledge of songs from my mother, when I discovered folk clubs in 1966 it was natural to start singing.","Without a PA / microphone","Don't mind","Without instruments","Without a score / words","A pub, with a small number, 7 to 10 musicians and singers, entertaining the rest of the customers","9","Very important","Very accepted","Friendships,Short-term romantic relationships (like dating),Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"Other, please describe,5","Play flute in informal, sessions and ceilidh bands, call for dancing.","1 to 5 years","No",NA,"I helped to keep a festival going that had been ended by the existing organisers","Yes","I sing and play in pubs, especially where a good cross section of the general pub clientele is present, talk to folks about the songs and tunes, over the years quite a few have become regular attendees at folk events..","Yes","Ensuring wheelchair access, enabling audience to attend.","You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a political message,Other, please describe","In memory of those past, some songs I sing specifically as personal memorials to singers I admired.",NA,"Humour, what makes folks laugh","The deep history of some of our traditional ballads, the origins of the tales seem to me to connect with communities from long ago, I believe we were already singing stories as we moved up the Danube valley encountering the Neanderthals.","The struggle of the poor against oppression.","For the effect they have on the audience, to make people laugh or to leave them for a moment in stunned silence from the power of the message is a very fine form of human contact","Yes","The espousing of the anti abortion cause, deeply offensive to me.","Yes","It did make me think about what political messages are appropriate.","No",NA,"Yes","Disabled access, placing people in well sited seating, tolerance of those who cannot control their reactions due to disabilty","After nearly 60 years folk singing my life has been sustained by all the good friends and fine people I have met in the folk community, two lives lived, one of the normal toil, the other of fine music in good company.",NA,"Other, please describe","HNC engineering","Working class",NA,"Yes","TQ12",NA,"English",NA,"No religion",NA,NA,NA,"Other, please state","Tactical vote, to get tories out","7","Volunteer","White UK","Male","Yes","Heterosexual/Straight",77,"61-80+"
"Respondent 14","Perform professionally/semi-professionally,Lead songs","Folk clubs,Concerts,Singarounds,Folk festivals,Open mic nights",NA,"3-5","17","I love singing and I love folk music","Don't mind","Don't mind","A mixture","Without a score / words","Mixed song and tune session","8","Somewhat important","Very accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"Audience at rock/pop gigs,I only take part in folk singing events,Other, please describe,5","Play fiddle in folk music group","5 to 10 years","No",NA,"I organise a long running sing around because I don't want it to stop","Yes","Advertise to all my friends, non folk included","No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's content connects with your personal experience,Other, please describe","I mainly sing songs I have written",NA,"I enjoy sea songs",NA,NA,"I come from a seafaring family","No",NA,NA,NA,"No",NA,NA,NA,"I am aware of a need to encourage more younger people into the genre","Unlikely","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","TF7",NA,"British",NA,"Any other religion, please describe",NA,"Pagan","Yes","Labour Party",NA,"7","Volunteer","White UK","Female","No","Bisexual",67,"61-80+"
"Respondent 15","Sing choruses","Folk festivals,Other traditional community singing (like carol singing),Folk choir,Other, please describe","Trad music sessions","1-2","18","It was part of the CND /political s e e in the 1970â€™s . I went to the uni folk club which was v popular and my social scene was based on that .","Without a PA / microphone","From my seat / standing as part of a group","A mixture","Without a score / words","I would prefer to play rather than sing, but am in a folk choir who perform in concert settings.","6","Somewhat important","Very accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"I only take part in folk singing events,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other, please describe","Prefer to play and let others sing their choice .",NA,NA,NA,NA,"No","Yes","Overtly sexual content sung by young girl guides !","No","None","No",NA,"Yes","Canâ€™t remember","No","Local Sheffield carols - a niche event. Also no questions about playing traditional tunes in sessions etc and taking part in dance groups.","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","S10",NA,"British",NA,"No religion",NA,NA,NA,"Labour Party",NA,"5","Non-organiser","White UK","Female","No","Heterosexual/Straight",75,"61-80+"
"Respondent 16","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Open mic nights,Other traditional community singing (like carol singing),Folk choir,Other, please describe","Well the Open Mic question - is I do floor spots, at several venues - and they don't have a mic, you just sing with your own voice.","3-5","51","Love singing, and a folk friend suggested a folk choir. This lead to Halsway, when in the bar at night - asked to do a floor spot. Then to floor spots in a pub. then transcribing interesting songs, and unusual songs.

To me its about love of music, sing new and old songs, both traditional and folk, and classical. Its just the joy of it, and release from work - so you have a life beyond the desk.","Without a PA / microphone","From the front / a stage","Without instruments","With a score / words","Halsway bar!","7","Neutral","Very accepted","Friendships",NA,"Audience at classical concerts,Audience at non-folk festivals,Sing in a classical choir,Go to workshops / take private lessons,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you",NA,NA,NA,"Its folk singing, ans so traditional. So I quite often take songs from vwml, some well known, some with neuances like mode changes. Then finding some of interest from the past.",NA,"Some songs appeal, sometime traditional, sometimes modern, and some times for the changes they have made from the original (try the Wild Rover in a minor key!)","No",NA,NA,NA,"No",NA,"No",NA,"I've found nearly everybody I've had contact with in the Folk scene to be encouraging. They share the same joy as me.","No - you probably know more than I.","Postgraduate research degree (e.g., PhD, DPhil)",NA,"Middle class",NA,"Yes","BA2",NA,"British",NA,"Any other religion, please describe",NA,"No religion, is not quite accurate. I have beliefs, I just believe there is not a diety. So this is not a negative, I have beliefs - it is what defines us all, just that mine aren't religious.","Yes","Liberal Democrats",NA,"3","Non-organiser","White UK","Male","No","Heterosexual/Straight",55,"41-60"
"Respondent 17","Lead songs,Sing choruses","Folk clubs,Concerts,Folk festivals",NA,"0","17","Heard Folk Music on the radio. Went to folk club, started morris dancing","Without a PA / microphone","Don't mind","Without instruments","Without a score / words","Pub","5","Somewhat important","Neutral","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's content connects you to the past,The song's content connects you to a political message",NA,NA,NA,NA,"The plight of the common people, still required today more than ever.","I like the songs of particular singer and groups, especially those with family connections.","No",NA,NA,NA,"No",NA,"No",NA,NA,NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Working class",NA,"Yes","hp22",NA,"English",NA,"No religion",NA,NA,NA,"Other, please state","any that would oust the local Tory","9","Non-organiser","White UK","Male","No","Heterosexual/Straight",68,"61-80+"
"Respondent 18","Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals",NA,"1-2","19","joining in","Without a PA / microphone","From my seat / standing as part of a group","Without instruments","Without a score / words","a crowded pub or concert hall","4","Somewhat important","Very accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"I only take part in folk singing events,5",NA,"I just organised a one-off event","No",NA,"charity",NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry",NA,NA,NA,NA,NA,"memories from when I was younger. good choruses. lovely melodies","Yes","politics, bad language, overly sexual","No","nothing","No",NA,"No",NA,"makes friend all over the country. at festivals meeting up with the same people","Small festivals. Upton upon severn. White Horse at Grove. loads of shanty festivals also have lots of folk. small meet up singarounds.","Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","BH31",NA,"Welsh",NA,"No religion",NA,NA,NA,"Conservative Party",NA,"2","Volunteer","White UK","Female","Yes","Heterosexual/Straight",76,"61-80+"
"Respondent 19","Lead songs","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"3-5","22","Love singing. Played guitar at school and had own little band. Influenced by Paul Simon initially","Without a PA / microphone","From the front / a stage","A mixture","A mixture","Smallish friendly welcoming folk club/ singaround. Folk at home is nice too.","8","Neutral","Very accepted","Friendships",NA,"Audience at rock/pop gigs,Audience at non-folk festivals,Other, please describe,5","Occasional charity concerts","10 to 20 years","Yes, please describe","Charity events. 
Vintage fairs","Use my knowledge of artists and bands to bring the folk genre to a wider audience","Yes","Organise folk music events at Rotherham show and in local parish hall. Enabled residents to have access to free live music. 
Employment of professional musicians. 
Opportunity for talented amateurs to perform.","Yes","Ensure access to events is wheelchair friendly. 
Control of volume for people with autism. 
Rotherham show in particular attracted wheelchair users and people with learning disabilities and autism.","You enjoy the melody,You like to sing about a particular topic,The song's content connects with your personal experience,The song's content connects you to a specific place,The song's content connects you to a political message",NA,"N Yorkshire. S Yorkshire
Farming
","Songs about children working. 
Political songs.",NA,"Injustice. Strikes. Child Labour. Slavery.","I think the tune usually is the first thing I hear, followed by the message in the song. Also I find it easier to remember if there is a story to the song.","Yes","Overt racism in a traditional song. A song where a minor change would have removed the offensiveness without detracting from the song. I had a big row with the singer about it. 
Quite often I hear songs that are chauvinistic or demeaning to women but not as bad as the racism.","Yes","I withdrew for a period of time. It was some years ago now and the person in question has since died.","No",NA,NA,NA,"I think itâ€™s quite interesting that where I attend there are far more male performers than female. In fact until recently I was often the only female singing. Is it that men in general enjoy singing more than women or is it to do with confidence. I donâ€™t know.","Canâ€™t think of any.","Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Prefer not to say",NA,"Yes","S25",NA,"English",NA,"No religion",NA,NA,NA,"Labour Party",NA,"8","Volunteer","White UK","Female","No","Heterosexual/Straight",67,"61-80+"
"Respondent 20","Perform professionally/semi-professionally","Folk clubs,Concerts,Folk festivals,Open mic nights",NA,"1-2","50","Learnt to play guitar and sing in 40s and wanted somewhere to perform and learn from others","Don't mind","From the front / a stage","With instruments","Without a score / words","Mix or musicians and audience","7","Somewhat important","Somewhat accepted","Friendships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's content connects with your personal experience,The song's content connects you to a political message",NA,NA,NA,NA,"Fairness","Like singing our own songs","Yes","Racist","No","Left the room","No",NA,"No",NA,"Can be a.tension between people who think all folk music should be traditional and people like us who are more eclectic including own songs",NA,"Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","Gl5",NA,"English",NA,"No religion",NA,NA,NA,"Labour Party",NA,"6","Non-organiser","White UK","Female","Yes","Heterosexual/Straight",61,"61-80+"
"Respondent 21","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing)",NA,"6-10","16","My family played and sang .....","Without a PA / microphone","Don't mind","Without instruments","Without a score / words","depends on the type of singing you are going to do.  It might be a local pub, a concert hall or church with good acoustics or a field","7","Somewhat important","Very accepted","Friendships",NA,"Audience at rock/pop gigs,Audience at classical concerts,Go to workshops / take private lessons,5",NA,"Over 20 years","No",NA,"bringing friends together  and to keep the traditions alive","Yes","Talks to WI, U3A, Red Hatters etc, doing a spot in a local village concert and local pagan Moots.  from this people have come along to other folkie type events","Yes","choosing venues with stair lifts  / lifts, and if a large concert, a hearing loop,  good lighting  outside the venue and close to car parks so people feel safe late at night","You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects you to the past,The song's content connects you to a political message",NA,NA,NA,"my .locality, the traditions locally that are still kept or have died out","the plight of the working man / woman","they have to speak to me and stir something deep inside.  It's not worth just making a pretty noise, it has to have meaning.  Hopefully it will stir something in others","No",NA,NA,NA,"No",NA,"Yes","more stewards at festivals with the knowledge of how to appropriately help someone with disabilities, hidden or visible and easier access to upstairs venues",NA,"In Cornwall we still have the custom of Crying the Neck, the ceremonial cutting of the last sheaf of the harvest, which includes singing as part of the ceremony and is followed by a Harvest Home , sometimes in the field or in a house where people sing, play music and tell stories and it is a community event.  Likewise with the wassail at Christmas and Tansys Golowan in June.  They are not specifically folkie events but community events that some folkies join in with","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Working class",NA,"Yes","PL17",NA,"Cornish",NA,"Any other religion, please describe",NA,"Pagan, Witch","Yes","Other, please state","Sometimes I have to vote strategically so might not be able to vote for my first choice","10","Volunteer","White UK","Female","Yes","Heterosexual/Straight",69,"61-80+"
"Respondent 22","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing),Folk choir",NA,"6-10","16","Because I love it!","Without a PA / microphone","Don't mind","Without instruments","Without a score / words","Pub/festival venue","8","Neutral","Very accepted","Friendships",NA,"Audience at classical concerts,Go to workshops / take private lessons,5",NA,"Over 20 years","No",NA,"The love of harmony singing","Yes","Invited people to events which I organised. Limited success.","No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message",NA,"Anywhere open and wild.",NA,NA,NA,NA,"Yes",NA,NA,NA,"No",NA,NA,NA,NA,NA,"A level or equivalent (e.g., AS level; Highers; International Baccalaureate diploma; access to higher education diploma)",NA,"Other, please describe","Not interested in class","Yes","LA9",NA,"Other, please describe","European","No religion",NA,NA,NA,"Labour Party",NA,"7","Volunteer","White UK","Female","No","Heterosexual/Straight",72,"61-80+"
